,source,target,weight
189,p5,h6,-382.143349250246
190,p5,h7,-382.143349250246
191,p5,h8,-4928.160824174709
192,p5,h9,-4928.160824174709
193,p5,h10,-4928.160824174709
194,p5,h11,-4928.160824174709
195,p5,h12,-4928.160824174709
196,p5,h13,621.027812236522
197,p5,h14,621.027812236522
198,p5,h15,-1814.081175146472
199,p5,h16,-1829.9986798087104
200,p5,h17,7818.351689964682
201,p5,h18,7818.351689964682
202,p5,h19,-2346.930071782629
203,p5,h20,-2346.930071782629
204,p5,h21,352.98594458961
205,p5,h22,-2346.930071782629
206,p5,h23,352.98594458961
207,p5,h24,7818.351689964682
208,p5,h25,-1711.0025088005011
209,p5,h26,352.98594458961
210,p5,h27,12300.70227517548
211,p5,h28,621.027812236522
212,p5,h29,-1971.992951073212
213,p5,h30,621.027812236522
214,p5,h31,621.027812236522
215,p5,h32,621.027812236522
216,p5,h33,621.027812236522
217,p5,h34,352.98594458961
218,p5,h35,-1829.9986798087104
219,p5,h36,-2429.900927733488
220,p5,h37,7818.351689964682
221,p5,h38,-1872.0867654309268
222,p5,h39,12300.70227517548
223,p5,h40,621.027812236522
224,p5,h41,621.027812236522
225,p5,h42,621.027812236522
226,p5,h43,621.027812236522
227,p5,h44,621.027812236522
228,p5,h45,-4928.160824174709
229,p5,h46,-4928.160824174709
230,p6,h1,-4928.160824174709
231,p6,h2,-4928.160824174709
232,p6,h3,-4928.160824174709
233,p6,h4,-382.143349250246
234,p6,h5,621.027812236522
235,p6,h6,-382.143349250246
236,p6,h7,-382.143349250246
237,p6,h8,-4928.160824174709
238,p6,h9,-4928.160824174709
239,p6,h10,-4928.160824174709
240,p6,h11,-4928.160824174709
241,p6,h12,-4928.160824174709
242,p6,h13,621.027812236522
243,p6,h14,621.027812236522
244,p6,h15,-1814.081175146472
245,p6,h16,-1829.9986798087104
246,p6,h17,7818.351689964682
247,p6,h18,7818.351689964682
248,p6,h19,-2346.930071782629
249,p6,h20,-2346.930071782629
250,p6,h21,352.98594458961
251,p6,h22,-2346.930071782629
252,p6,h23,352.98594458961
253,p6,h24,7818.351689964682
254,p6,h25,-1711.0025088005011
255,p6,h26,352.98594458961
256,p6,h27,12300.70227517548
257,p6,h28,621.027812236522
258,p6,h29,-1971.992951073212
259,p6,h30,621.027812236522
260,p6,h31,621.027812236522
261,p6,h32,621.027812236522
262,p6,h33,621.027812236522
263,p6,h34,352.98594458961
264,p6,h35,-1829.9986798087104
265,p6,h36,-2429.900927733488
266,p6,h37,7818.351689964682
267,p6,h38,-1872.0867654309268
268,p6,h39,12300.70227517548
269,p6,h40,621.027812236522
270,p6,h41,621.027812236522
271,p6,h42,621.027812236522
272,p6,h43,621.027812236522
273,p6,h44,621.027812236522
274,p6,h45,-4928.160824174709
275,p6,h46,-4928.160824174709
276,p7,h1,-4928.160824174709
277,p7,h2,-4928.160824174709
278,p7,h3,-4928.160824174709
279,p7,h4,-2723.1162460539617
280,p7,h5,609.2399364852092
281,p7,h6,-2723.1162460539617
282,p7,h7,-2723.1162460539617
283,p7,h8,-4928.160824174709
284,p7,h9,-4928.160824174709
285,p7,h10,-4928.160824174709
286,p7,h11,-4928.160824174709
287,p7,h12,-4928.160824174709
288,p7,h13,609.2399364852092
289,p7,h14,609.2399364852092
290,p7,h15,1414.9639868209576
291,p7,h16,189.08762449844247
292,p7,h17,4131.408288010344
293,p7,h18,4131.408288010344
294,p7,h19,-1854.9074366906375
295,p7,h20,-1854.9074366906375
296,p7,h21,4537.089016667264
297,p7,h22,-1854.9074366906375
298,p7,h23,4537.089016667264
299,p7,h24,4131.408288010344
300,p7,h25,3398.8638687048756
301,p7,h26,4537.089016667264
302,p7,h27,5156.2667784442465
303,p7,h28,609.2399364852092
304,p7,h29,-137.95818760141415
305,p7,h30,609.2399364852092
306,p7,h31,609.2399364852092
307,p7,h32,609.2399364852092
308,p7,h33,609.2399364852092
309,p7,h34,4537.089016667264
310,p7,h35,189.08762449844247
311,p7,h36,-3038.9653468574516
312,p7,h37,4131.408288010344
